id,created_at,text
1257958031817502700,Wed May 06 08:59:01 +0000 2020,@Nidhi140376 Hi There, we apologize for the inconvenience caused. Please connect with us over the HELP section or e… https://t.co/is4Z3gQcAf
1257957796219256800,Wed May 06 08:58:05 +0000 2020,@BellaCiao9214 Hi There, we apologize for the inconvenience caused. Please DM your gaana registered details (email… https://t.co/k7VYbdKFhP
1257957588672471000,Wed May 06 08:57:15 +0000 2020,@Harisivaraj1993 Hi There, we apologize for the inconvenience caused. Please connect with us over the HELP section… https://t.co/nPE0LzRvAa
1257957056939651000,Wed May 06 08:55:08 +0000 2020,@Dheeraj16532240 Please follow us back so that we can help you over DM.
1257845033471885300,Wed May 06 01:30:00 +0000 2020,“Put your heart, mind, and soul into every workout; that’s how you truly grow.” Mix it up and gear up for an energe… https://t.co/8pAuP9Sk1n
1257648742087291000,Tue May 05 12:30:00 +0000 2020,#PavanShetty is going crazy for the ‘Karabuu’ song from @DhruvaSarja's ‘Pogaru,’ so will you once you hear it! List… https://t.co/qMjw7tBONT
1257644500186357800,Tue May 05 12:13:09 +0000 2020,@Dheeraj16532240 Please follow us back so that we can help you over DM.
1257635212449570800,Tue May 05 11:36:15 +0000 2020,@Dheeraj16532240 Hi There, we apologize for the inconvenience caused. Please DM your gaana registered details (emai… https://t.co/AbXxpyiD97
1257619335570284500,Tue May 05 10:33:09 +0000 2020,RT @karanjohar: https://t.co/L0vbTtwfLI
1257619293501456400,Tue May 05 10:32:59 +0000 2020,#ManojKumar is going absolutely crazy for the ‘Karabuu’ song from @DhruvaSarja's ‘Pogaru,’ so will you once you hea… https://t.co/r1zi67QXg5
1257619130624045000,Tue May 05 10:32:20 +0000 2020,RT @divomovies: Director @RajkumarHirani in conversation with @SriSri today on #HeartToHeart series. Catch the Show Live at 5PM IST. @Artof…
1257604029003100200,Tue May 05 09:32:20 +0000 2020,“Jo seekha, samjha, acha bura jo jeevan mein ghata, uss sabse samjah kar ummeed nikal kar aayi hai.”  Uthaiye parde… https://t.co/KevWX06iMO
1257595269723549700,Tue May 05 08:57:31 +0000 2020,@ARReddy4694 Dear User, Thank you for sharing your valuable feedback. We will certainly share it with the concerned team. Stay tuned!
1257588341765058600,Tue May 05 08:30:00 +0000 2020,The man whose golden voice needs no introduction, #SPB has always given us timeless hits to cherish. Listen to his… https://t.co/WjQYX8ZS4W
1257577596457345000,Tue May 05 07:47:18 +0000 2020,RT @itsBhushanKumar: Happy Birthday Papa! I feel blessed for being a part of your dreams. And I hope I am making you proud somewhere. You w…
1257575402895114200,Tue May 05 07:38:35 +0000 2020,@ved_mulchandani Dear User, Thank you for sharing your valuable feedback. We will certainly share it with the conce… https://t.co/mpsxmNHJqa
1257571712020803600,Tue May 05 07:23:55 +0000 2020,@iraghav7 Hi There, we apologize for the inconvenience caused. Please check your DM and respond so that the team can assist you better.
1257571560329601000,Tue May 05 07:23:19 +0000 2020,@vinaysinghal2 Please follow us back so that we can help you over DM.
1257570914431955000,Tue May 05 07:20:45 +0000 2020,@DalwadiDivya Dear User, We would love to help you. Please connect with our support team over the HELP section or e… https://t.co/BVtnhIYZwG
1257527943795888000,Tue May 05 04:30:00 +0000 2020,His upbeat songs and groovy music can make anybody ‘Feel the melody and the rhythm of the music.’ Wishing… https://t.co/ruEVHV0Y95
1257497745432117200,Tue May 05 02:30:00 +0000 2020,‘Sankat kate, mite sab peera, jo sumirai Hanumat Balbeera’ Hanuman Ji ki archana se durr kare apne sabhi kasht. Sun… https://t.co/EbLRiVKYqb
1257351829328887800,Mon May 04 16:50:11 +0000 2020,RT @leon_james: Every song you play helps save lives! @gaana https://t.co/NfOOKL7VNk
1257351789621510100,Mon May 04 16:50:01 +0000 2020,RT @admediainsider: .@prashan_agarwal, CEO of @gaana tells us how the app has seen a hike in its Users and a few changes in consumer behavi…
1257337675796930600,Mon May 04 15:53:56 +0000 2020,RT @jassiegill: @gaana 👏👏 https://t.co/CQlAPMkMDD
1257337648047407000,Mon May 04 15:53:50 +0000 2020,RT @BPraak: @gaana great initiative 👍 https://t.co/2IqSHBdHy0
1257337622982205400,Mon May 04 15:53:44 +0000 2020,RT @ArmaanMalik22: Great initiative by ⁦@gaana⁩ 🙌🏼 #IndiaFightsCorona https://t.co/yurBUNQOti
1257337597032104000,Mon May 04 15:53:37 +0000 2020,RT @SonyMusicNorth: Great initiative taken by @gaana to provide help to the most vulnerable people of our society.  Keep listening to songs…
1257337458016034800,Mon May 04 15:53:04 +0000 2020,RT @divomovies: As a step of spreading positivity, hope &amp; love; the upcoming shows of #HeartToHeart series featuring @RajkumarHirani @sonak…
1257326400911970300,Mon May 04 15:09:08 +0000 2020,#KaiGreene is going absolutely crazy for the ‘Karabuu’ song from @DhruvaSarja's ‘Pogaru,’ so will you once you hear… https://t.co/a9gzLNbd0V
1257286352678330400,Mon May 04 12:30:00 +0000 2020,#JohnLucas is going crazy for the ‘Karabuu’ song from @DhruvaSarja's ‘Pogaru’, so will you once you hear it! Listen… https://t.co/iK1nFYtXZj
1257284498590281700,Mon May 04 12:22:38 +0000 2020,@skapoor_ We are glad to confirm that the issue has been resolved. Please connect with us over the HELP section or… https://t.co/3SdtowBFqz
1257284240535744500,Mon May 04 12:21:36 +0000 2020,@Im_SA29 Dear User, We would love to help you. Please connect with our support team over the HELP section or email… https://t.co/zSL0hDXnTX
1257280059695456300,Mon May 04 12:05:00 +0000 2020,RT @aanandaaudio: aListen to Aakashane Adarisuva from Kotigobba 3 on @gaana : https://t.co/LiKxN904Dn https://t.co/RUsZylCZbR
1257261581450334200,Mon May 04 10:51:34 +0000 2020,Monday chahe WFH wala ho ya office wala, hota khooni Monday hi hai! Isko paar kijiye with some motivation and loads… https://t.co/D8WrYWRoDY
1257241454281289700,Mon May 04 09:31:35 +0000 2020,@Kanhaiya_tweets Hi There, we apologize for the inconvenience caused. Please connect with us over the HELP section… https://t.co/ehM3Epw9JC
1257221928948883500,Mon May 04 08:14:00 +0000 2020,RT @LahariMusic: Listen to the devotional songs on @gaana. https://t.co/ydyT9hhkGC
1257195044525637600,Mon May 04 06:27:10 +0000 2020,Grab this opportunity to feature in the #MaskIndia video! Be a Corona Warrior and share your photos, wearing a home… https://t.co/M7fkbtzLUI
1257182406576009200,Mon May 04 05:36:57 +0000 2020,@royalstaryours Hi There, we apologize for the inconvenience caused. Please connect with us over the HELP section o… https://t.co/ZKqezfOXdu
1257182340066848800,Mon May 04 05:36:41 +0000 2020,@TheBr0b Hi There, we apologize for the inconvenience caused. Please connect with us over the HELP section or email… https://t.co/fhzFa2DXnv
1257182285255766000,Mon May 04 05:36:28 +0000 2020,@harigiri77 Hi There, we apologize for the inconvenience caused. Please connect with us over the HELP section or em… https://t.co/ZTtYG8MSwu
1257165555963850800,Mon May 04 04:30:00 +0000 2020,Wishing the beautiful, super-talented actress @trishtrashers a very happy birthday! Listen to her biggest hits, her… https://t.co/gQ8dtoLcQD
1257120257442869200,Mon May 04 01:30:00 +0000 2020,‘Om Namah Shivaye’ Bhagwan Shiv ki bhakti mein kho ke paao aseem sukh aur shanti! Suniye Shiv Ji ke Bhakti-geet onl… https://t.co/fX9URjZjA6
1256974167896805400,Sun May 03 15:49:29 +0000 2020,@OneNOnlyHari Hi, Please DM us so that the team can assist you further.
1256923964225413000,Sun May 03 12:30:00 +0000 2020,‘Prada’ ho ya inke tracks, you can’t stop ‘Shopping’ for his music! Listen to the best of Jass Manak, only on Gaana… https://t.co/VR8lO96FzL
1256893765282906000,Sun May 03 10:30:00 +0000 2020,This classic track from the 1964 movie ‘Kashmir Ki Kali’, sung by the legends #MohammadRafi &amp; @ashabhosle, will tak… https://t.co/gbuj9jVxsC
1256887400246251500,Sun May 03 10:04:42 +0000 2020,@AsbelSajanJ Hi There, We would love to help you. Please DM us so that the team can assist you further.
1256885213398995000,Sun May 03 09:56:01 +0000 2020,@n99p98 Dear User, Thank you for sharing your valuable feedback. We will certainly share it with the concerned team… https://t.co/CKwipfKwqY
1256884675085246500,Sun May 03 09:53:52 +0000 2020,@bioacousist Dear User, Thank you for sharing your valuable feedback. We will certainly share it with the concerned… https://t.co/DkBidOxMtA
1256876728221237200,Sun May 03 09:22:18 +0000 2020,@ankurbajaj_9 Hi There, We would love to help you. Please DM us so that the team can assist you further.
1256875124034158600,Sun May 03 09:15:55 +0000 2020,@Nisarg_M_Mehta Hi There, we apologize for the inconvenience caused. Please check your DM and respond so that the t… https://t.co/102aAVoYvj
1256873789024960500,Sun May 03 09:10:37 +0000 2020,@OneNOnlyHari Hi There, we apologize for the inconvenience caused. Please DM your Gaana registered details (email i… https://t.co/Q1r5mUzYo2
1256868453274644500,Sun May 03 08:49:25 +0000 2020,Stay at home but don’t miss the weekly countdown. Catch the top 10 songs with @pujawithau here :… https://t.co/05E1wJ0dRa
1256863566059225000,Sun May 03 08:30:00 +0000 2020,Tired of the lockdown? We have the perfect party numbers to keep you entertained at home! Check out the ‘Telugu Par… https://t.co/t8dBvV2qVK
1256851943068258300,Sun May 03 07:43:49 +0000 2020,@ARPANROCKS95 Dear User, please note that we longer support the windows platform. The app only supports the IOS/And… https://t.co/TlTxzqWI0n
1256851332687892500,Sun May 03 07:41:23 +0000 2020,@vinaysinghal2 Dear User,  We apologize for the inconvenience caused. Please DM us with your registered gaana plus… https://t.co/yFHd4aVw6f
1256757869782982700,Sun May 03 01:30:00 +0000 2020,“Ek yogi ko kis baat ka bhay? Prakriti aur jo bhi andar hai aur bahar woh khud hi hai.” Suniye Wahe Guru ke Bhakti-… https://t.co/2IlNk7ffGt
1256573279029977000,Sat May 02 13:16:30 +0000 2020,@KedarAnilGadgil Hi There, we apologize for the inconvenience caused. Please connect with us over the HELP section… https://t.co/NgJkktJkbv
1256550260047929300,Sat May 02 11:45:02 +0000 2020,@Tarunku50720288 Hi There, we apologize for the inconvenience caused. Please DM your gaana registered details (emai… https://t.co/XLEwAT9MzE
1256520863739818000,Sat May 02 09:48:13 +0000 2020,Kuch raaz khulenge, kuch kisse khilenge, jab @Zakirism apni zindagi ke safar pe se parda uthayenge. Listen to him o… https://t.co/QOeT557a2D
1256506444880347100,Sat May 02 08:50:55 +0000 2020,@ChandraniSah You need to follow our twitter handler so that we can Dm you.
1256501178239680500,Sat May 02 08:30:00 +0000 2020,Brighten up your Saturday with some fresh, foot-tapping numbers from our ‘Sakkath Saturdays’ playlist! Listen now o… https://t.co/wETqEoqbmZ
1256464802760650800,Sat May 02 06:05:27 +0000 2020,@pawan_tata Please check your DM and respond so that the team can assist you better.
1256459427831525400,Sat May 02 05:44:06 +0000 2020,@piyushrajput74 Hi There, we apologize for the inconvenience caused. Please check your DM and respond so that the t… https://t.co/7te3cZpp1R
1256458270752927700,Sat May 02 05:39:30 +0000 2020,@skapoor_ Hi There, we apologize for the inconvenience caused. Please DM your Gaana registered details (email id/ph… https://t.co/5QmbYUytIR
1256395482638643200,Sat May 02 01:30:00 +0000 2020,“Energy and persistence conquer all things.” Keep chipping away at your fitness goals with our ‘Workout Motivation… https://t.co/dalSFlqPjQ
