id,created_at,text
765530182908117000,Tue Aug 16 12:46:33 +0000 2016,Thanks for the recent follow @Stream_recruit @OraclePrecEng @AddMfgTLN Happy to connect :) have a great Tuesday. &gt;&gt; https://t.co/40rD5CKtTi
765505811598618600,Tue Aug 16 11:09:42 +0000 2016,Thanks for the recent follow @DamnitSaldivar @TorusTechnology Happy to connect :) have a great Tuesday. &gt;&gt; Get 🆓? https://t.co/7uuoQaz5tS
765184803855401000,Mon Aug 15 13:54:08 +0000 2016,Thanks for the recent follow @Metromeet @gambica @ConorlatColt Happy to connect :) have a great Monday. &gt;&gt; Get 🆓? https://t.co/7uuoQaz5tS
765179581133226000,Mon Aug 15 13:33:23 +0000 2016,Thanks for the recent follow @Colt_UK @For_Demand_UK @rnd_square Happy to connect :) have a great Monday. &gt;&gt; Get 🆓? https://t.co/7uuoQaz5tS
765139862869553200,Mon Aug 15 10:55:33 +0000 2016,Hello everyone, have a great Monday! Looking forward to reading your tweets :) (Want this 🆓? &gt;&gt; https://t.co/k26SNopzxU)
764805377707827200,Sun Aug 14 12:46:26 +0000 2016,Thanks for the recent follow @owen_sharples @FantastakLtd @SurefastIntl Happy to connect :) have a great Sunday. &gt;&gt; https://t.co/40rD5CKtTi
764782374852800500,Sun Aug 14 11:15:01 +0000 2016,Thanks for the recent follow @NashSGC @EdFaganEu @AllottsPR Happy to connect :) have a great Sunday. &gt;&gt; Get 🆓? https://t.co/7uuoQaz5tS
764051339315818500,Fri Aug 12 10:50:09 +0000 2016,Hello everyone, have a great Friday! Looking forward to reading your tweets :) (Want this? It's FREE! https://t.co/1y3DKKGkdD)
763693858714558500,Thu Aug 11 11:09:39 +0000 2016,Thanks for the recent follow @theSpacenation @sxkjpcb Happy to connect :) have a great Thursday. (Want this 🆓? &gt;&gt; https://t.co/k12V7qgjej)
763331493762478100,Wed Aug 10 11:09:44 +0000 2016,Thanks for the recent follow @AllottsPR @FOXTalentUK Happy to connect :) have a great Wednesday. (Want this 🆓? &gt;&gt; https://t.co/k12V7qgjej)
763326223032340500,Wed Aug 10 10:48:48 +0000 2016,Hello everyone, have a great Wednesday! Looking forward to reading your tweets :) (Want this 🆓? &gt;&gt; https://t.co/k12V7qgjej)
762608044542877700,Mon Aug 08 11:15:01 +0000 2016,Thanks for the recent follow @lia8053194099z1 @vuwetobuhuc Happy to connect :) have a great Monday. &gt;&gt; Get FREE? https://t.co/z3KHO8C0n3
762601627329048600,Mon Aug 08 10:49:31 +0000 2016,Hello everyone, have a great Monday! Looking forward to reading your tweets :) (Want this 🆓? &gt;&gt; https://t.co/k12V7qgjej)
761519610298380300,Fri Aug 05 11:09:58 +0000 2016,Thanks for the recent follow @HiGrowMotor1 @gorgeousmetals Happy to connect :) have a great Friday. &gt;&gt; Get FREE? https://t.co/z3KHO8C0n3
761514306340921300,Fri Aug 05 10:48:53 +0000 2016,Hello everyone, have a great Friday! Looking forward to reading your tweets :) 🔹🆓Grow followers ➪ https://t.co/oIE6AHvr9x 🆓🔹
760789493603459100,Wed Aug 03 10:48:44 +0000 2016,Hello everyone, have a great Wednesday! Looking forward to reading your tweets :) 🔹🆓Grow followers ➪ https://t.co/oIE6AHvr9x 🆓🔹
760064746125090800,Mon Aug 01 10:48:51 +0000 2016,Hello everyone, have a great Monday! Looking forward to reading your tweets :) 🔹🆓Grow followers ➪ https://t.co/oIE6AHvr9x 🆓🔹
759345222337781800,Sat Jul 30 11:09:43 +0000 2016,Thanks for the recent follow @AmandaJPhelps @TandMTom Happy to connect :) have a great Saturday. (Want this 🆓? &gt;&gt; https://t.co/k12V7qgjej)
